target_img_path,target_unicode,target_tesseract,assoc_img_path,assoc_unicode,assoc_tesseract,html_file
img/558522dee1382382fb4d0c9b_input.pdf_5/Figure Caption1.png,Fig 5. Type log ofMarcellus ror North Central Pennsylvania. {\sl ~} {\bf s} Type \qquad  \fbox {{fruretuse}} or North Central Pennsylvania. Fig.  5.  Type  log  of Marcellus  for  North  Central  Pennsylvania. ,Fig 5. Type log ofMarcellus ror North Central Pennsylvania.,img/558522dee1382382fb4d0c9b_input.pdf_5/Figure9.png,2 y max q 2.35 ^2 ^{\dagger } \fbox _UNK ^{7} 2{38} Marcellus -New York  Marcellus -New York  Marcellus -New York  2.8  2.8  (Bulk Density vs Leco TOC from cuttings)  (Bulk Density vs Leco TOC from cuttings)  (Bulk Density vs Leco TOC from cuttings)  (Bulk Density vs Leco TOC from cuttings)  (Bulk Density vs Leco TOC from cuttings)  (Bulk Density vs Leco TOC from cuttings)  (Bulk Density vs Leco TOC from cuttings)  2.75  y = -0.0426x + 2.73  y = -0.0426x + 2.73  y = -0.0426x + 2.73  y = -0.0426x + 2.73  y = -0.0426x + 2.73  R² = 0.6863  R² = 0.6863  R² = 0.6863  2.7  2.7  2.65  2.6  2.6  2.55  2.5  2.5  2.45  l u B  t i s n e  m g  c c  2.35  2.3 ,"Marcellus -New York

 

2 8 (Bulk Density vs Leco TOC from cuttings)
2.7-5 ’ y :-a max é 2,73

 

 

90 . R 06E63

 

3“
q

2.65

 

 

!""
an

2.55

 

.N
u.

 

 

2.45

 

 

Bulk Density, gm/ cc

1

2.35

 

 

2.3",558522dee1382382fb4d0c9b_input.pdf_5.html
img/558522dee1382382fb4d0c9b_input.pdf_5/Figure Caption3.png,"Fig, 4‘ Type 10g of Marcellus for North Central Pennsylvalua. \sl ~H\! H {\bullet } Type \qquad   \qquad   \qquad    of \fbox {uacwl{s}} for North Central \fbox {{ewsssiu}} Fig.  4.  Type  log  of  Marcellus  for  North  Central  Pennsylvania. ","Fig, 4‘ Type 10g of Marcellus for North Central Pennsylvalua.",img/558522dee1382382fb4d0c9b_input.pdf_5/Figure10.png,"RLAS I -0.1 Neutron GAMMA_RAY , , . (‘Oatka CIeek’) , In {{R}}{\sf } \fbox  {.} Neutron {\bf ~{\Theta h{-3}{888.}}} , , . {los}{\bf t} {{\bf  \bf  {lo}\hspace }} , In","RLAS Density Poroslly
1 100! I .3 -0.1

Neutron Pores-(y

GAMMA_RAY _ulk D—_nsily
I 50 I

Gamma Ray , , . Mahanlango Fm.

 

 

Upper Marcellus
(‘Oatka CIeek’)

 

“—'_ ,
il-zag ‘
mmggaiia—

Lower Marcellus
(‘Unlon Sprlngs‘)

 

I'll???

: is shaded In light blue",558522dee1382382fb4d0c9b_input.pdf_5.html
img/558522dee1382382fb4d0c9b_input.pdf_5/Figure Caption6.png,Fig 6. Correlation of langmuir volume and TOC for Marcellus isotherms. \sl ~~ {a}^ Correlation of \fbox {{lhmnti}} volume and {~```} for \fbox {{uurells}} isotherms. Fig.  6.  Correlation  of  Langmuir  volume  and  TOC  for  Marcellus  methane  isotherms. ,Fig 6. Correlation of langmuir volume and TOC for Marcellus methane isotherms.,img/558522dee1382382fb4d0c9b_input.pdf_5/Figure11.png,,Marcellus - Methane Isotherms,558522dee1382382fb4d0c9b_input.pdf_5.html
img/558522dee1382382fb4d0c9b_input.pdf_6/Figure Caption4.png,Fig 7. Upper Map of mean erreaive porosixy. \qquad  . Upper \fbox {44p} of mean \fbox {{fisive}} \fbox {{pospos}} Fig.  7.  Upper  Marcellus  —  Map  of  mean  effective  porosity. ,Fig 7. Upper Marcellus — Map of mean erreaive porosixy.,img/558522dee1382382fb4d0c9b_input.pdf_6/Figure9.png,,,558522dee1382382fb4d0c9b_input.pdf_6.html
img/558522dee1382382fb4d0c9b_input.pdf_6/Figure Caption5.png,"C02 replacing free methane gas in-place for each study well. ﬁnal step summed the calculated curve for each study well. yielding the theoretical maximum C02 storage capacity as free C02 for each well, Total maximum C02 storage capacity includes theoretical maximum C02 storage capacity as ‘free' CD; plus maximum C02 storage capacity as adsorbed C0; \fbox c_ replacing free methane {{gs}} \fbox {iir}p for each study well. {inal} step summed the calculated curve for each study well. yielding the theoretical maximum \fbox co_{2} storage capacity as free \qquad {c}_ for each well, Total maximum \qquad  storage capacity includes theoretical maximum \fbox {005} storage capacity as free^ \fbox {{coz}} plus maximum \fbox co_ storage capacity as adsorbed \fbox 0{c}_ CO2  replacing  free  methane  gas  in-place  for  each  study  well.  A  ﬁnal  step  summed  the  calculated  curve  for  each  study  well,  yielding  the  theoretical  maximum  CO2  storage  capacity  as  free  CO2  for  each  well.  Total  maximum  CO2  storage  capacity  includes  theoretical  maximum  CO2  storage  capacity  as  ‘free’  CO2  plus  maximum  CO2  storage  capacity  as  adsorbed  CO2. ","C02 replacing free methane gas in-place for each study well. A ﬁnal
step summed the calculated curve for each study well. yielding the
theoretical maximum C02 storage capacity as free C02 for each well,
Total maximum C02 storage capacity includes theoretical maximum
C02 storage capacity as ‘free' CD; plus maximum C02 storage capacity
as adsorbed C0;",img/558522dee1382382fb4d0c9b_input.pdf_6/Figure9.png,,,558522dee1382382fb4d0c9b_input.pdf_6.html
img/558522dee1382382fb4d0c9b_input.pdf_6/Body Text7.png,"The end result of the log calculations is estimates of total methane gas-in place for the Marcellus and the theoretical maximum C02 stor- age capacity, including an adsorbed component and a noneadsorbed component. in terms of volume per unit area. Units were selected for ease of scaling the results to estimate gas resource in-place or C02 storage capacity for any well spacing of interest, Total gas ineplace and CO2 storage capacity were extrapolated from the individual well log calculations for nine “model areas"" indicated in Fig. 3. The model areas are subdivisions of the total Marcellus study area based on parameters such as depth and thickness ofthe Marcellus. reservoir pressure gradient, and computed TOC. For each model area, the average calculated gas in-place and storage capacity values per unit area were multiplied by the geographical area contained within the model area boundaries. Model area totals of Marcellus gas in-place and theoretical maximum C02 storage capacity were summed to deter- mine state totals of gas ineplace and maximum CO2 storage capacity. These totals are presented in Table 2, which shows that estimated the- oretical maximum CO2 storage capacity is 1.6 Mt/kmz, of which adsorbed CO2 storage capacity is estimated to be 0.92 Mt/km2 and maximum noneadsorbed (‘free') CO2 storage capacity is estimated to be 0.68 Mt/kmz, For the entire area of study, total gas ineplace in the Marcellus is estimated to be nearly 37 Tm}. Of this, approximately 16 Trn3 is esti mated to be adsorbed gas in-place. and 21 Tm3 is estimated to be non-adsorbed, or ‘free’, gas in-place, Consequently, if all of this meth- ane could be displaced, 171 Ct of theoretically maximum storage capacity is estimated to exist in the Marcellus Shale. Almost 99 Ct of potential capacity is estimated to be associated with the adsorption of CO2 within the pore space of the shale, and over 72 Ct is estimated The \fbox {{snd}} result of the \begin{array} {lcl}\operatorname {log} calculations is estimates of total methane {gastsn} place for the {udrclus} and the theoretical maximum \fbox {{coz}} stor- \qquad  capacity, including an adsorbed component and ^{4} {onsddolbed} component. in terms of volume \fbox e unit area. Units were selected for ease of scaling the results to estimate resource {in.p4uce} or \fbox {{coz}} storage capacity for any well spacing of interest, Total ^{{gA}} \fbox {iir}p4 and {c}_{z} storage capacity were extrapolated from the individual well \begin{array} {log}{\operatorname {og}}\\ 0 calculations for nine ``````os areas"" indicated in \begin{array} {c}{{rig}}\\  \\   ^. The model areas are subdivisions of the total {\sf `rcluus} study area based on parameters such as depth and thickness {qilne} {\sf ddrclus} reservoir pressure gradient, and computed {loC}. For each model area, the average calculated {ss} {irr}puu and storage capacity values \fbox e unit area were multiplied by the geographical area contained within the model area boundaries. Model area totals of {udrcllus} {s} {i.puat} and theoretical maximum \fbox {{coz}} storage capacity were summed to deter- mine state totals of ^{{gs}} \fbox {{iir}}{04} and maximum \fbox {{c}_{z}} storage capacity. These totals are presented in Table . which shows that estimated the- {orticl} maximum \fbox 0{5{2}} storage capacity is {16} {htiiis}. of which adsorbed \fbox {{coz}} storage capacity is estimated to be 9c2 {\sf ijin^{i}} and maximum {vonssdedd} ({(e\epsilon )} \fbox co_{0} storage capacity is estimated to be {0.88} {Mitnr}. For the entire area of study, total {s} \fbox {{iir.p4ee}} in the {\sf udrclus} is estimated to be nearly ^{37} {In}. Of this, approximately {6} {In}^{j} is \fbox {{efii}} mated to be adsorbed {s4s} \fbox {{iir.p4act}} and 2! {In}^{j} is estimated to be {onsdcott.} or {fiee}. {ss} in.p4acact Consequently, if all of this meth- \fbox {{nne}} could be displaced, \begin{array} {1}{1}1 {{~f}} of theoretically maximum storage capacity is estimated to exist in the {udrclus} Shale. Almost {99} of potential capacity is estimated to be associated with the adsorption of \fbox  within the pore space of the shale, and over {7}_{2} {{G}} is estimated The  end  result  of  the  log  calculations  is  estimates  of  total  methane  gas-in  place  for  the  Marcellus  and  the  theoretical  maximum  CO2  stor-  age  capacity,  including  an  adsorbed  component  and  a  non-adsorbed  component,  in  terms  of  volume  per  unit  area.  Units  were  selected  for  ease  of  scaling  the  results  to  estimate  gas  resource  in-place  or  CO2  storage  capacity  for  any  well  spacing  of  interest.  Total  gas  in-place  and  CO2  storage  capacity  were  extrapolated  from  the  individual  well  log  calculations  for  nine  “model  areas”  indicated  in  Fig.  3.  The  model  areas  are  sub-divisions  of  the  total  Marcellus  study  area  based  on  parameters  such  as  depth  and  thickness  of the  Marcellus,  reservoir  pressure  gradient,  and  computed  TOC.  For  each  model  area,  the  average  calculated  gas  in-place  and  storage  capacity  values  per  unit  area  were  multiplied  by  the  geographical  area  contained  within  the  model  area  boundaries.  Model  area  totals  of  Marcellus  gas  in-place  and  theoretical  maximum  CO2  storage  capacity  were  summed  to  deter-  mine  state  totals  of  gas  in-place  and  maximum  CO2  storage  capacity.  These  totals  are  presented  in  Table  2,  which  shows  that  estimated  the-  oretical  maximum  CO2  storage  capacity  is  1.6  Mt/km2,  of  which  adsorbed  CO2  storage  capacity  is  estimated  to  be  0.92  Mt/km2  and  maximum  non-adsorbed  (‘free’)  CO2  storage  capacity  is  estimated  to  be  0.68  Mt/km2.  For  the  entire  area  of  study,  total  gas  in-place  in  the  Marcellus  is  estimated  to  be  nearly  37  Tm3.  Of  this,  approximately  16  Tm3  is  esti-  mated  to  be  adsorbed  gas  in-place,  and  21  Tm3  is  estimated  to  be  non-adsorbed,  or  ‘free’,  gas  in-place.  Consequently,  if  all  of  this  meth-  ane  could  be  displaced,  171  Gt  of  theoretically  maximum  storage  capacity  is  estimated  to  exist  in  the  Marcellus  Shale.  Almost  99  Gt  of  potential  capacity  is  estimated  to  be  associated  with  the  adsorption  of  CO2  within  the  pore  space  of  the  shale,  and  over  72  Gt  is  estimated ","The end result of the log calculations is estimates of total methane
gas-in place for the Marcellus and the theoretical maximum C02 stor-
age capacity, including an adsorbed component and a noneadsorbed
component. in terms of volume per unit area. Units were selected
for ease of scaling the results to estimate gas resource in-place or
C02 storage capacity for any well spacing of interest,

Total gas ineplace and CO2 storage capacity were extrapolated from
the individual well log calculations for nine “model areas"" indicated in
Fig. 3. The model areas are subdivisions of the total Marcellus study
area based on parameters such as depth and thickness ofthe Marcellus.
reservoir pressure gradient, and computed TOC. For each model area,
the average calculated gas in-place and storage capacity values per
unit area were multiplied by the geographical area contained within
the model area boundaries. Model area totals of Marcellus gas in-place
and theoretical maximum C02 storage capacity were summed to deter-
mine state totals of gas ineplace and maximum CO2 storage capacity.
These totals are presented in Table 2, which shows that estimated the-
oretical maximum CO2 storage capacity is 1.6 Mt/kmz, of which
adsorbed CO2 storage capacity is estimated to be 0.92 Mt/km2 and
maximum noneadsorbed (‘free') CO2 storage capacity is estimated to
be 0.68 Mt/kmz,

For the entire area of study, total gas ineplace in the Marcellus is
estimated to be nearly 37 Tm}. Of this, approximately 16 Trn3 is esti
mated to be adsorbed gas in-place. and 21 Tm3 is estimated to be
non-adsorbed, or ‘free’, gas in-place, Consequently, if all of this meth-
ane could be displaced, 171 Ct of theoretically maximum storage
capacity is estimated to exist in the Marcellus Shale. Almost 99 Ct of
potential capacity is estimated to be associated with the adsorption
of CO2 within the pore space of the shale, and over 72 Ct is estimated",img/558522dee1382382fb4d0c9b_input.pdf_6/Figure9.png,,,558522dee1382382fb4d0c9b_input.pdf_6.html
img/57ede925cf58f16acb2290ac_input.pdf_2/Figure Caption10.png,"triplicates, the total number of treatments was 90 (3 10 3). In the isotherm experiments, 4 of samples were mixed with 100 mL Pb“ solution (80, 400, 800, 2000 and 4000 mg/L) at 200 r/min and 25°C for the equilibrium time. To obtain a comprehensive knowledge of sz"" adsorption process, adsorbents included S, P, SP1 (0, 2, 4, 6, 9 and 10 days), SP2 (10 days) and SP3 (10 days). The Pb“ solution after adsorption was collected and measured using the method mentioned above, with each treatment being in triplicates. The total number of treatments in the experiment was 150 (5 X 10 3), The sz” adsorbed amount (Q) can be calculated by Eq (I): triplicates, the total number of treatments was {\bf 0} (^( \begin{array} cc0 ^{\lambda .} In the isotherm experiments, 4 of samples were mixed with \begin{array} {c}{00}\\ 0 {\bf nL} {pp^{+}} solution \fbox {(80.} {.} {gp.} \hspace {.0.00p} and \hspace {-4p0} \small ~nLfL at \begin{array} {c}{00}\\  {rmin} and {{cz}}{{S}{c}} for the equilibrium time. To obtain {\bullet } comprehensive knowledge of {p}\bf ^ adsorption process, adsorbents included {S} {p.} {{P~}} \begin{array} c ^{2}. 4. 6, 9 and \begin{array} cc days), \fbox {{sr2}} ({c}( days) and s ({c}( days). The {p}^{^{+}} solution after adsorption was collected and measured using the method mentioned above, with each treatment being in triplicates. The total number of treatments in the experiment was \fbox {1}0 \fbox {S} \times  \begin{array} cc{0} {3)}. The {p}{v}^ adsorbed amount \O  can be calculated by {q.} \begin{array} lll{!l_{1}}\\ {(l\} _\end{array}  triplicates, ×  the  total  number  of  treatments  was  90  (3  ×  10  ×  3).  In  the  isotherm  experiments,  4  g  of  samples  were  mixed  with  100  mL  Pb2+  solution  (80,  400,  800,  2000  and  4000  mg/L)  at  200  r/min  and  25°C  for  the  equilibrium  time.  To  obtain  a  comprehensive  knowledge  of  Pb2+  adsorption  process,  adsorbents  included  S,  P,  SP1  (0,  2,  4,  6,  9  and  10  days),  SP2  (10  days)  and  SP3  (10  days).  The  Pb2+  solution  after  adsorption  was  collected  and  measured  using  the  method  mentioned  above,  with  each  treatment  being  in  triplicates.  The  total ×  number ×  of  treatments  in  the  experiment  was  150  (5  ×  10  ×  3).  The  Pb2+  adsorbed  amount  (Q)  can  be  calculated  by  Eq.  (1): ","triplicates, the total number of treatments was 90 (3 X 10
X 3).

In the isotherm experiments, 4 g of samples were mixed
with 100 mL Pb“ solution (80, 400, 800, 2000 and 4000
mg/L) at 200 r/min and 25°C for the equilibrium time.
To obtain a comprehensive knowledge of sz"" adsorption
process, adsorbents included S, P, SP1 (0, 2, 4, 6, 9
and 10 days), SP2 (10 days) and SP3 (10 days). The
Pb“ solution after adsorption was collected and measured
using the method mentioned above, with each treatment
being in triplicates. The total number of treatments in the
experiment was 150 (5 X 10 X 3), The sz” adsorbed
amount (Q) can be calculated by Eq (I):",,,,57ede925cf58f16acb2290ac_input.pdf_2.html
img/558522dee1382382fb4d0c9b_input.pdf_8/Figure Caption6.png,— UNK 6.  CO2  injection  scenarios  —  Simulation  results  and  interpretation ,6. to; injection scenarios — Simulation results and interpretation,img/558522dee1382382fb4d0c9b_input.pdf_8/Figure12.png,,"Gas Kale (cubic meters/day)

140,000
120,000
100,000
30,000
60,000
40,000
20,000
0

50

100

150

200
Days

250

300

350",558522dee1382382fb4d0c9b_input.pdf_8.html
img/558522dee1382382fb4d0c9b_input.pdf_8/Figure Caption8.png,Fig. 9. Gas me history match. {{e}}\\  {\bullet } {ca} me history match. Fig.  9.  Gas  rate  history  match. ,Fig. 9. Gas me history match.,img/558522dee1382382fb4d0c9b_input.pdf_8/Figure13.png,— \qquad    \qquad    \qquad    \qquad    ,—Actua| Gas — imulated Gas,558522dee1382382fb4d0c9b_input.pdf_8.html
img/57ede925cf58f16acb2290ac_input.pdf_5/Figure Caption5.png,Relatluml'up between measured and predicted Pb“ cuncenlmlmn solution (4an) (from Eq. (8)). \fbox {{edtaaanp}} between measured and predicted {pi}^{i} \fbox {{orrsnnas}} solution \fbox t{(``{c}} (from {\sf t_{\emptyset }} \fbox {5|} Fig.  3  Relationship  between  measured  and  predicted  Pb2+  concentration  in  solution  (–lnCe)  (from  Eq.  (8)). ,"F 3 Relatluml'up between measured and predicted Pb“ cuncenlmlmn
m solution (4an) (from Eq. (8)).",img/57ede925cf58f16acb2290ac_input.pdf_5/Figure15.png,"642024680, _ _ $2.285 \begin{array} {c}{^{6}}\\    \\    \\    \\     _ _ \frac \bar ","642024680,
_ , |
_

$2.285 a",57ede925cf58f16acb2290ac_input.pdf_5.html
img/57ede925cf58f16acb2290ac_input.pdf_5/Figure Caption13.png,"Percenmge ofeach species extracted from and SP (co 1000 mg/L. 40.0 g/L). \fbox {{treeute}} {\sf {{qieh}}} species extracted from and \fbox {pp} \epsilon _{0} \fbox {{loo}} {vy.} \begin{array} {c}{000\\ {00}}\end{array}  \end{array}   {gtu} Fig.  4  Percentage  of each  species  extracted  from  Pb2+-loaded  S  and  SP  (C0  =  1000  mg/L,  X0  40.0  g/L).  X0 = ","Flg. 4 Percenmge ofeach species extracted from Pb3‘-luaded s and SP
(co = 1000 mg/L. x 40.0 g/L).",img/57ede925cf58f16acb2290ac_input.pdf_5/Figure17.png,Fraction (“/n) US .5? A: B: Carbonate-bound c: Fe/Mn-boud D: E: Fraction \stackrel \overline  {\scriptsize ~\Sigma S~} \bf  ~_\bf  ~ \Lambda . {{br}}^ \fbox {{dhaouusad}} {C}; eeuincccc {\bf } {c},"Fraction (“/n)

 

 

 

US .5?

A: Exchangeable

B: Carbonate-bound
c: Fe/Mn-boud

D: Organic-bound
E: Residual",57ede925cf58f16acb2290ac_input.pdf_5.html
img/57ede925cf58f16acb2290ac_input.pdf_3/Body Text3.png,"Figure 1 shows the adsorbed amounts (Q) of Pb2+ by S. P and SP] against adsorption time. It is evident that for increased gradually with time, but not at a particularly rapid rate and tailed off after about 28 hr. As a result. the equilibrium time required for Pb“ adsorption onto was taken to be 28 hr. for increased rapidly with adsorption time over the ﬁrst two hours, and saturated at about 4 hr: hence the equilibrium time for Pb“ adsorption on was taken to be 4 hr. The for SP1 behavior was similar to that of for within the ﬁrst two hours. and then the curve became smooth after 8 hr, indicating the equilibrium time for adsorption on SP1 was 8 hr These results conﬁrmed that the equilibrium time required for Pb2+ adsorption onto S decreased substantially (from 28 to 8 hr) due to paper sludge addition. The kinetic models of dual constant and pseudo second, order were used to ﬁt the adsorption data. The dual Figure l shows the adsorbed amounts ({{O}}) of {p}^{{i}} by {S.} {p} and {SP} against adsorption time. It is evident that for increased gradually with time, but {ool} at {\sf } particularly rapid rate and tailed ~qf after about {8}8 {hr} As {\bullet } result. the equilibrium time required for {p}{{i}} adsorption onto was taken to be {28} {hr} for increased rapidly with adsorption time over the {firt} {o} hours, and saturated at about 4 {hr}. hence the equilibrium time for {p}{{j}^{\star }} adsorption on was taken to be 4 {hr} The for {{SPl}} behavior was similar to that of for within the {frrt} {wo} hours. and then the curve became smooth after 8 {hr}. indicating the equilibrium time for adsorption on {{P}} was 8 {hr} These results {confimed} that the equilibrium time required for {p}^{{i}} adsorption onto {S} decreased substantially (from {28} to 8 {hr} {uue} to paper sludge addition. The kinetic models of dual constant and pseudo second, order were used to {it} the adsorption data. The dual Figure  1  shows  the  adsorbed  amounts  (Q)  of  Pb2+  by  S,  P  and  SP1  against  adsorption  time.  It  is  evident  that  Q  for  S  increased  gradually  with  time,  but  not  at  a  particularly  rapid  rate  and  tailed  oﬀ  after  about  28  hr.  As  a  result,  the  equilibrium  time  required  for  Pb2+  adsorption  onto  S  was  taken  to  be  28  hr.  Q  for  P  increased  rapidly  with  adsorption  time  over  the  ﬁrst  two  hours,  and  saturated  at  about  4  hr;  hence  the  equilibrium  time  for  Pb2+  adsorption  on  P  was  taken  to  be  4  hr.  The  Q  for  SP1  behavior  was  similar  to  that  of  Q  for  P  within  the  ﬁrst  two  hours,  and  then  the  curve  became  smooth  after  8  hr,  indicating  the  equilibrium  time  for  adsorption  on  SP1  was  8  hr.  These  results  conﬁrmed  that  the  equilibrium  time  required  for  Pb2+  adsorption  onto  S  decreased  substantially  (from  28  to  8  hr)  due  to  paper  sludge  addition.  The  kinetic  models  of  dual  constant  and  pseudo  second-  order  were  used  to  ﬁt  the  adsorption  data.  The  dual ","Figure 1 shows the adsorbed amounts (Q) of Pb2+ by S.
P and SP] against adsorption time. It is evident that Q for
S increased gradually with time, but not at a particularly
rapid rate and tailed off after about 28 hr. As a result. the
equilibrium time required for Pb“ adsorption onto S was
taken to be 28 hr. Q for P increased rapidly with adsorption
time over the ﬁrst two hours, and saturated at about 4 hr:
hence the equilibrium time for Pb“ adsorption on P was
taken to be 4 hr. The Q for SP1 behavior was similar to
that of Q for P within the ﬁrst two hours. and then the curve
became smooth after 8 hr, indicating the equilibrium time
for adsorption on SP1 was 8 hr These results conﬁrmed
that the equilibrium time required for Pb2+ adsorption onto
S decreased substantially (from 28 to 8 hr) due to paper
sludge addition.

The kinetic models of dual constant and pseudo second,
order were used to ﬁt the adsorption data. The dual",img/57ede925cf58f16acb2290ac_input.pdf_3/Figure20.png,(mg/g) 100 90 80 70 60 50 40 30 20 IO —o—S 48 {\pi }{\bar {{{5}{2}}}} \fbox {000}0 \fbox 10 \fbox 0 \fbox {0}{0} \fbox 10l \fbox {00} \fbox 00 \fbox {10} \fbox 00 \fbox {0} -{{\boldmath ~-o-s~}}- \fbox 55{3},"Q (mg/g)

100
90
80
70
60
50
40
30
20
IO

—o—S
—A—P
—D—SPI

 

48",57ede925cf58f16acb2290ac_input.pdf_3.html
img/57ede925cf58f16acb2290ac_input.pdf_3/Figure Caption4.png,"l kinelic curves P ^ \fbox {{iheeie}} curves ^{p} Fig.  1  Adsorption  kinetic  curves  of  Pb2+  onto  S,  P  and  SP1  absorbents. ",Fig. l Adsol'plion kinelic curves of Pbb onto S‘ P and SP1 absol'benlsv,img/57ede925cf58f16acb2290ac_input.pdf_3/Figure20.png,(mg/g) 100 90 80 70 60 50 40 30 20 IO —o—S 48 {\pi }{\bar {{{5}{2}}}} \fbox {000}0 \fbox 10 \fbox 0 \fbox {0}{0} \fbox 10l \fbox {00} \fbox 00 \fbox {10} \fbox 00 \fbox {0} -{{\boldmath ~-o-s~}}- \fbox 55{3},"Q (mg/g)

100
90
80
70
60
50
40
30
20
IO

—o—S
—A—P
—D—SPI

 

48",57ede925cf58f16acb2290ac_input.pdf_3.html
img/57ede925cf58f16acb2290ac_input.pdf_1/Figure Caption10.png,"' ' The  Key  Laboratory  of  Water  and  Sediment  Sciences,  Ministry  of  Education,  Department  of  Environmental  Engineering,  Peking  University,  University,  University, Beijing  100871,  China.  E-mail:  hexiaojia@iee.pku.edu.cn  University, ","The Key Lahommry of Waler and Sediment Scielxcex, Mmlxn'y of Educatinn, Depzlrlmem (7f EIwiImmerx/zll Engineermg,
Peking Um've ' ~114ng 100871, China. 57mm]: /wxianjlu@ive.pku.£du.cn",,,,57ede925cf58f16acb2290ac_input.pdf_1.html
img/558522dee1382382fb4d0c9b_input.pdf_2/Figure Caption2.png,"Fi 1. Stratigraphic correlation Chart for the Shale in the Appalachian Basin, {\sf } {.} Stratigraphic correlation Chart for the Shale in the Appalachian Basin, Fig.  1.  Stratigraphic  correlation  chart  for  the  Marcellus  Shale  in  the  Appalachian  Basin. ","Fi 1. Stratigraphic correlation Chart for the Marcellus Shale in the Appalachian Basin,",img/558522dee1382382fb4d0c9b_input.pdf_2/Figure5.png,————— § E E o a S E E a . \fbox {cc}&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&&& \bf  \bf   {\textstyle {8}} {\bf \Xi } \bf  \bf   {\tilde {s}} {\bf \alpha } \frac  \overline {{\bf 5}} \underline {{\bf B}} .,"—————

W [F II G Wear-mm BullierFm/
es a 5 ""WP Rhimlrm snug Rhineslreelslule

West Falls Fm!

Hunel Fm] mm
Souvea Group mmmx snug Mmmx 5m ISM:

Sew

M
_me LS) E Humiltﬂl Glow,
u. “Mm Hamilton Group,
Ludlowvlﬂe sm maimed
(Cenlerﬁeld LS)
§
2

 

Upper
Devonian

5 E
E e e
o a :2
E «3
S g -kanealzles Shale E
—‘ E
a g 3mm Ls
E
Marcellus
Shale
Target
Formation

. Hurrmrsvme onen/
Tn srales Nwmm We
‘3'“? Oriskany Onskany Onskany Onskany

Sandslnne Sandslone Sandstone Sandstone

Sources NewYork sure Museum oruu Geologlcal Survey Pennsylvmo-pammumuservmm ind
Nalural Resources unuea Slmsceologlm Survey WesWIrgImaGeologrcl Survey

Needrrm Sh

Lower
Devonian",558522dee1382382fb4d0c9b_input.pdf_2.html
